id,category,title,content,image_url
kb-001,grandma,おばあちゃんについて,"日曜市を案内するデジタルの案内役のおばあちゃんです。道やお店のこと、歩き方のコツをやさしい土佐弁で教えます。",
kb-002,project,このデジタルマップについて,"日曜市の店舗や周辺スポットを見やすく案内するためのデジタルマップです。地図上のアイコンやカードからお店の情報を確認できます。",
kb-003,project,このプロジェクトについて,"日曜市をもっと楽しめるように、地図・検索・レシピ・ことづて機能をまとめた体験型のWebプロジェクトです。",
kb-004,place,マップ上の表示物について,"高知城、高知城歴史博物館、オーテピア、チンチン電車など、実在するランドマークをイラストで表示しています。",
kb-005,guide,日曜市の楽しみ方,"朝早く行くと品ぞろえが多く、ゆっくり見られます。気になるお店は店主さんに声をかけておすすめを聞くと楽しいです。",
kb-006,howto,このWebページの使い方,"マップでお店の場所を見て、検索で条件を絞り、レシピでおすすめの食材を探せます。ことづてでは人への伝言を残せます。",
kb-007,category,食材カテゴリーについて,"野菜や果物、乾物、鮮魚など食材が中心のお店です。朝のうちに行くと新鮮なものが見つかりやすいです。",
kb-008,category,食べ物カテゴリーについて,"惣菜やおやつ、飲み物などその場で食べられるものが多いです。食べ歩きしたい人におすすめです。",
kb-009,category,道具・工具カテゴリーについて,"日用品の道具や工具、修理用品などを扱うお店です。掘り出し物があるのでゆっくり見るといいです。",
kb-010,category,生活雑貨カテゴリーについて,"キッチン用品や布小物など、生活に役立つ雑貨が中心です。普段使いのものを探すのに向いています。",
kb-011,category,植物・苗カテゴリーについて,"季節の花や苗木、鉢植えなどが並びます。朝は状態の良い苗が選びやすいです。",
kb-012,category,アクセサリーカテゴリーについて,"手作りのアクセサリーや小物が多いです。プレゼント探しにも向いています。",
kb-013,category,手作り・工芸カテゴリーについて,"木工や布製品など、作家さんの作品が並びます。気に入ったら作り手に話を聞くと楽しいです。",
kb-014,place,高知城について,"高知城は市内中心部のシンボルです。マップ上でも右上にイラストで表示されています。",/images/maps/elements/buildings/KochiCastle.png
kb-015,place,高知城歴史博物館について,"高知城歴史博物館は高知城の近くにある文化施設です。マップ上で道の左上に表示されています。",/images/maps/elements/buildings/KochiCastleMusium2.png
kb-016,place,オーテピアについて,"オーテピアは高知市の図書館・文化複合施設です。歴史博物館の少し下に表示されています。",/images/maps/elements/buildings/Otepia2.png
kb-017,place,チンチン電車について,"チンチン電車は高知の路面電車です。マップでは道の下側にイラストで表示しています。",/images/maps/elements/buildings/TinTinDensha2.png
kb-018,howto,マップの使い方,"マップ上のアイコンをタップするとお店の詳細が見られます。お気に入りはハートで登録できます。",
kb-019,howto,検索の使い方,"キーワードやカテゴリ、ブロック番号で店舗を絞り込めます。結果はマップに送ることもできます。",
kb-020,howto,レシピの使い方,"季節ごとにおすすめの土佐の郷土料理レシピを見て、使う食材を扱うお店を探せます。",
kb-021,howto,ことづての使い方,"ことづてはちょっとした伝言メモです。日曜市での発見を誰かに共有したり、他の人のことづてを見たりできます。",
kb-022,howto,bagの使い方,"bagには気になった商品やお店をメモできます。後でまとめて見返せます。",
kb-023,guide,日曜市の歴史,"日曜市は300年以上の長い歴史を持つ朝市で、街の暮らしとともに続いてきた街路市です。今も地元の人との会話が楽しめます。",
kb-024,guide,日曜市の開催時間帯,"日曜市は夏の間は5:00~18:00、冬の間は5:30~17:00です。早い時間ほど品ぞろえが豊富です。",
kb-025,guide,日曜市の規模,"日曜市は通り沿いに300以上の店舗が並ぶ大規模な朝市です。端から端まで1kmあり、歩くと見ごたえがあります。",
kb-026,block,一丁目の特色,"一丁目は入口付近で人の流れが多く、賑やかな雰囲気が特徴です。",
kb-027,block,二丁目の特色,"二丁目は食材や日用品の店が多く、普段使いの買い物に向いています。",
kb-028,block,三丁目の特色,"三丁目は作り手のこだわり商品が並ぶことが多く、ゆっくり見たい人におすすめです。",
kb-029,block,四丁目の特色,"四丁目は生活雑貨や小物が見つかりやすく、掘り出し物探しに向いています。",
kb-030,block,五丁目の特色,"五丁目は比較的落ち着いた雰囲気で、会話を楽しみながら回れます。",
kb-031,block,六丁目の特色,"六丁目は地元の食材や季節の品が多く、旬の発見がしやすいエリアです。",
kb-032,block,七丁目の特色,"七丁目は終盤エリアで、ゆったり見られることが多いです。"
